"driver_gene","Pathway","Cancer_type","new"
"ACO1","Porphyrinmetabolism/hsa00860","COAD","ACO1 COAD"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","ESCA","ACSL3 ESCA"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","STAD","ACSL3 STAD"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","CHOL","ACSL3 CHOL"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","SKCM","ACSL3 SKCM"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","DLBC","ACSL3 DLBC"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","LAML","ACSL3 LAML"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","PRAD","ACSL3 PRAD"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","CESC","ACSL3 CESC"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","UCEC","ACSL3 UCEC"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","COAD","ACSL3 COAD"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","READ","ACSL3 READ"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","PANCAN","ACSL6 PANCAN"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","LUAD","ACSL6 LUAD"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","COAD","ACSL6 COAD"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","UCEC","ACSL6 UCEC"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","LUSC","ACSL6 LUSC"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","STAD","ACSL6 STAD"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","SKCM","ACSL6 SKCM"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","READ","ACSL6 READ"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","CESC","ACSL6 CESC"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","BLCA","ACSL6 BLCA"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","LIHC","ACSL6 LIHC"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","SARC","ACSL6 SARC"
"ACSM2A","Tryptophanmetabolism/hsa00380","KIRP","ACSM2A KIRP"
"ACSM3","Nitrogenmetabolism/hsa00910","GBM","ACSM3 GBM"
"ADCY8","Fattyaciddegradation/hsa00071","PRAD","ADCY8 PRAD"
"ADCY8","Fattyaciddegradation/hsa00071","ESCA","ADCY8 ESCA"
"ALDH1A1","Glutathionemetabolism/hsa00480","KICH","ALDH1A1 KICH"
"ALDH1A1","Glutathionemetabolism/hsa00480","PRAD","ALDH1A1 PRAD"
"ALDH1A1","Glutathionemetabolism/hsa00480","STAD","ALDH1A1 STAD"
"ALDH1A1","Glutathionemetabolism/hsa00480","THCA","ALDH1A1 THCA"
"ALDH1A1","Glutathionemetabolism/hsa00480","KIRC","ALDH1A1 KIRC"
"ALDH1A1","Glutathionemetabolism/hsa00480","READ","ALDH1A1 READ"
"ALDH1A1","Glutathionemetabolism/hsa00480","LUAD","ALDH1A1 LUAD"
"ALDH1A1","Glutathionemetabolism/hsa00480","BRCA","ALDH1A1 BRCA"
"ALDH1A1","Glutathionemetabolism/hsa00480","BLCA","ALDH1A1 BLCA"
"ALDH1A1","Glutathionemetabolism/hsa00480","HNSC","ALDH1A1 HNSC"
"ALDH1A1","Glutathionemetabolism/hsa00480","COAD","ALDH1A1 COAD"
"ALDH2","Oxidativephosphorylation/hsa00190","READ","ALDH2 READ"
"ALDH2","Oxidativephosphorylation/hsa00190","KIRP","ALDH2 KIRP"
"ALDH2","Oxidativephosphorylation/hsa00190","ESCA","ALDH2 ESCA"
"ALDH2","Oxidativephosphorylation/hsa00190","UCS","ALDH2 UCS"
"ALDH2","Oxidativephosphorylation/hsa00190","CESC","ALDH2 CESC"
"ALDH2","Oxidativephosphorylation/hsa00190","SARC","ALDH2 SARC"
"ALDH2","Oxidativephosphorylation/hsa00190","UVM","ALDH2 UVM"
"ALDH2","Oxidativephosphorylation/hsa00190","COAD","ALDH2 COAD"
"ALDH2","Oxidativephosphorylation/hsa00190","SKCM","ALDH2 SKCM"
"ALDH2","Oxidativephosphorylation/hsa00190","STAD","ALDH2 STAD"
"ALDH2","Oxidativephosphorylation/hsa00190","UCEC","ALDH2 UCEC"
"ANPEP","Purinemetabolism/hsa00230","KIRP","ANPEP KIRP"
"AOX1","Glutathionemetabolism/hsa00480","LIHC","AOX1 LIHC"
"ASH1L","Etherlipidmetabolism/hsa00565","PRAD","ASH1L PRAD"
"ATIC","Tryptophanmetabolism/hsa00380","STAD","ATIC STAD"
"ATIC","Tryptophanmetabolism/hsa00380","LUSC","ATIC LUSC"
"ATIC","Tryptophanmetabolism/hsa00380","CESC","ATIC CESC"
"ATIC","Tryptophanmetabolism/hsa00380","PANCAN","ATIC PANCAN"
"ATIC","Tryptophanmetabolism/hsa00380","HNSC","ATIC HNSC"
"ATIC","Tryptophanmetabolism/hsa00380","UCEC","ATIC UCEC"
"ATIC","Tryptophanmetabolism/hsa00380","LUAD","ATIC LUAD"
"ATIC","Tryptophanmetabolism/hsa00380","BLCA","ATIC BLCA"
"ATIC","Tryptophanmetabolism/hsa00380","SKCM","ATIC SKCM"
"ATIC","Tryptophanmetabolism/hsa00380","COAD","ATIC COAD"
"CANT1","Fattyaciddegradation/hsa00071","COAD","CANT1 COAD"
"CANT1","Fattyaciddegradation/hsa00071","STAD","CANT1 STAD"
"CANT1","Fattyaciddegradation/hsa00071","UCS","CANT1 UCS"
"CANT1","Fattyaciddegradation/hsa00071","GBM","CANT1 GBM"
"CANT1","Fattyaciddegradation/hsa00071","CHOL","CANT1 CHOL"
"CANT1","Fattyaciddegradation/hsa00071","MESO","CANT1 MESO"
"CANT1","Fattyaciddegradation/hsa00071","UCEC","CANT1 UCEC"
"CANT1","Fattyaciddegradation/hsa00071","SKCM","CANT1 SKCM"
"CANT1","Fattyaciddegradation/hsa00071","OS","CANT1 OS"
"CARS1","Drugmetabolism/hsa00982","LUSC","CARS1 LUSC"
"CARS1","Drugmetabolism/hsa00982","COAD","CARS1 COAD"
"CARS1","Drugmetabolism/hsa00982","SKCM","CARS1 SKCM"
"CARS1","Drugmetabolism/hsa00982","CESC","CARS1 CESC"
"CARS1","Drugmetabolism/hsa00982","BLCA","CARS1 BLCA"
"CARS1","Drugmetabolism/hsa00982","PANCAN","CARS1 PANCAN"
"CARS1","Drugmetabolism/hsa00982","UCEC","CARS1 UCEC"
"CARS1","Drugmetabolism/hsa00982","ESCA","CARS1 ESCA"
"CARS1","Drugmetabolism/hsa00982","STAD","CARS1 STAD"
"CARS1","Drugmetabolism/hsa00982","READ","CARS1 READ"
"CHST10","Pyrimidinemetabolism/hsa00240","COAD","CHST10 COAD"
"CHST11","Propanoatemetabolism/hsa00640","ESCA","CHST11 ESCA"
"CHST11","Propanoatemetabolism/hsa00640","COAD","CHST11 COAD"
"CHST11","Propanoatemetabolism/hsa00640","UCS","CHST11 UCS"
"CHST11","Propanoatemetabolism/hsa00640","LUSC","CHST11 LUSC"
"CHST11","Propanoatemetabolism/hsa00640","READ","CHST11 READ"
"CHST11","Propanoatemetabolism/hsa00640","PAAD","CHST11 PAAD"
"CHST11","Propanoatemetabolism/hsa00640","SKCM","CHST11 SKCM"
"CHST11","Propanoatemetabolism/hsa00640","UCEC","CHST11 UCEC"
"CHST11","Propanoatemetabolism/hsa00640","DLBC","CHST11 DLBC"
"COX6C","Glycerolipidmetabolism/hsa00561","UCEC","COX6C UCEC"
"COX6C","Glycerolipidmetabolism/hsa00561","CHOL","COX6C CHOL"
"CPS1","Starchandsucrosemetabolism/hsa00500","BRCA","CPS1 BRCA"
"CPS1","Starchandsucrosemetabolism/hsa00500","COAD","CPS1 COAD"
"CPS1","Starchandsucrosemetabolism/hsa00500","UCEC","CPS1 UCEC"
"CPS1","Starchandsucrosemetabolism/hsa00500","LIHC","CPS1 LIHC"
"CYP2C8","Glutathionemetabolism/hsa00480","DLBC","CYP2C8 DLBC"
"CYP2C8","Glutathionemetabolism/hsa00480","SARC","CYP2C8 SARC"
"CYP2C8","Glutathionemetabolism/hsa00480","LUSC","CYP2C8 LUSC"
"CYP2C8","Glutathionemetabolism/hsa00480","COAD","CYP2C8 COAD"
"CYP2C8","Glutathionemetabolism/hsa00480","READ","CYP2C8 READ"
"CYP2C8","Glutathionemetabolism/hsa00480","SKCM","CYP2C8 SKCM"
"CYP2C8","Glutathionemetabolism/hsa00480","BLCA","CYP2C8 BLCA"
"CYP2C8","Glutathionemetabolism/hsa00480","PANCAN","CYP2C8 PANCAN"
"CYP2C8","Glutathionemetabolism/hsa00480","LIHC","CYP2C8 LIHC"
"CYP2C8","Glutathionemetabolism/hsa00480","UCEC","CYP2C8 UCEC"
"DNMT1","Steroidhormonebiosynthesis/hsa00140","KIRC","DNMT1 KIRC"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","COAD","DNMT3A COAD"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","SKCM","DNMT3A SKCM"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","OV","DNMT3A OV"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","MESO","DNMT3A MESO"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","LGG","DNMT3A LGG"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","KIRC","DNMT3A KIRC"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","READ","DNMT3A READ"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","LUSC","DNMT3A LUSC"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","LIHC","DNMT3A LIHC"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","STAD","DNMT3A STAD"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","UCEC","DNMT3A UCEC"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","PANCAN","DNMT3A PANCAN"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","CESC","DNMT3A CESC"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","PAAD","DNMT3A PAAD"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","ESCA","DNMT3A ESCA"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","HNSC","DNMT3A HNSC"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","LAML","DNMT3A LAML"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","LUAD","DNMT3A LUAD"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","BLCA","DNMT3A BLCA"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","SARC","DNMT3A SARC"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","KIRP","DNMT3A KIRP"
"DNMT3A","Steroidhormonebiosynthesis/hsa00140","DLBC","DNMT3A DLBC"
"DOT1L","Oxidativephosphorylation/hsa00190","KIRP","DOT1L KIRP"
"ENTPD5","Fattyaciddegradation/hsa00071","BRCA","ENTPD5 BRCA"
"ENTPD5","Fattyaciddegradation/hsa00071","PRAD","ENTPD5 PRAD"
"ENTPD5","Fattyaciddegradation/hsa00071","KIRP","ENTPD5 KIRP"
"ENTPD5","Fattyaciddegradation/hsa00071","KIRC","ENTPD5 KIRC"
"ENTPD5","Fattyaciddegradation/hsa00071","LIHC","ENTPD5 LIHC"
"ENTPD5","Fattyaciddegradation/hsa00071","COAD","ENTPD5 COAD"
"ETNK1","Lysinedegradation/hsa00310","UCEC","ETNK1 UCEC"
"ETNK1","Lysinedegradation/hsa00310","PCPG","ETNK1 PCPG"
"ETNK1","Lysinedegradation/hsa00310","READ","ETNK1 READ"
"ETNK1","Lysinedegradation/hsa00310","STAD","ETNK1 STAD"
"ETNK1","Lysinedegradation/hsa00310","COAD","ETNK1 COAD"
"ETNK1","Lysinedegradation/hsa00310","SKCM","ETNK1 SKCM"
"ETNK1","Lysinedegradation/hsa00310","LUSC","ETNK1 LUSC"
"ETNK1","Lysinedegradation/hsa00310","KICH","ETNK1 KICH"
"ETNK1","Lysinedegradation/hsa00310","LUAD","ETNK1 LUAD"
"ETNK1","Lysinedegradation/hsa00310","BLCA","ETNK1 BLCA"
"EXT1","Propanoatemetabolism/hsa00640","UCEC","EXT1 UCEC"
"EXT1","Propanoatemetabolism/hsa00640","SARC","EXT1 SARC"
"EXT1","Propanoatemetabolism/hsa00640","THYM","EXT1 THYM"
"EXT1","Propanoatemetabolism/hsa00640","SKCM","EXT1 SKCM"
"EXT1","Propanoatemetabolism/hsa00640","PANCAN","EXT1 PANCAN"
"EXT1","Propanoatemetabolism/hsa00640","COAD","EXT1 COAD"
"EXT1","Propanoatemetabolism/hsa00640","STAD","EXT1 STAD"
"EXT1","Propanoatemetabolism/hsa00640","DLBC","EXT1 DLBC"
"EXT1","Propanoatemetabolism/hsa00640","LAML","EXT1 LAML"
"EXT1","Propanoatemetabolism/hsa00640","LUAD","EXT1 LUAD"
"EXT1","Propanoatemetabolism/hsa00640","LUSC","EXT1 LUSC"
"EXT1","Propanoatemetabolism/hsa00640","BLCA","EXT1 BLCA"
"EXT1","Propanoatemetabolism/hsa00640","ESCA","EXT1 ESCA"
"EXT1","Propanoatemetabolism/hsa00640","LIHC","EXT1 LIHC"
"EXT2","Propanoatemetabolism/hsa00640","UCEC","EXT2 UCEC"
"EXT2","Propanoatemetabolism/hsa00640","LUSC","EXT2 LUSC"
"EXT2","Propanoatemetabolism/hsa00640","ESCA","EXT2 ESCA"
"EXT2","Propanoatemetabolism/hsa00640","LUAD","EXT2 LUAD"
"EXT2","Propanoatemetabolism/hsa00640","PANCAN","EXT2 PANCAN"
"EXT2","Propanoatemetabolism/hsa00640","BLCA","EXT2 BLCA"
"EXT2","Propanoatemetabolism/hsa00640","MESO","EXT2 MESO"
"EXT2","Propanoatemetabolism/hsa00640","STAD","EXT2 STAD"
"EXT2","Propanoatemetabolism/hsa00640","SKCM","EXT2 SKCM"
"EXT2","Propanoatemetabolism/hsa00640","COAD","EXT2 COAD"
"EXT2","Propanoatemetabolism/hsa00640","READ","EXT2 READ"
"EZH1","Oxidativephosphorylation/hsa00190","BLCA","EZH1 BLCA"
"EZH1","Oxidativephosphorylation/hsa00190","LUAD","EZH1 LUAD"
"EZH2","Etherlipidmetabolism/hsa00565","READ","EZH2 READ"
"EZH2","Etherlipidmetabolism/hsa00565","CGCI-BLGSP","EZH2 CGCI-BLGSP"
"EZH2","Etherlipidmetabolism/hsa00565","LUSC","EZH2 LUSC"
"EZH2","Etherlipidmetabolism/hsa00565","UCEC","EZH2 UCEC"
"EZH2","Etherlipidmetabolism/hsa00565","COAD","EZH2 COAD"
"EZH2","Etherlipidmetabolism/hsa00565","BLCA","EZH2 BLCA"
"EZH2","Etherlipidmetabolism/hsa00565","PANCAN","EZH2 PANCAN"
"EZH2","Etherlipidmetabolism/hsa00565","LUAD","EZH2 LUAD"
"EZH2","Etherlipidmetabolism/hsa00565","LAML","EZH2 LAML"
"EZH2","Etherlipidmetabolism/hsa00565","MESO","EZH2 MESO"
"EZH2","Etherlipidmetabolism/hsa00565","SKCM","EZH2 SKCM"
"EZH2","Etherlipidmetabolism/hsa00565","CHOL","EZH2 CHOL"
"EZH2","Etherlipidmetabolism/hsa00565","DLBC","EZH2 DLBC"
"EZH2","Etherlipidmetabolism/hsa00565","STAD","EZH2 STAD"
"EZH2","Etherlipidmetabolism/hsa00565","CESC","EZH2 CESC"
"EZH2","Etherlipidmetabolism/hsa00565","GBM","EZH2 GBM"
"EZH2","Etherlipidmetabolism/hsa00565","UCS","EZH2 UCS"
"FASN","Pentoseandglucuronateinterconversions/hsa00040","LUAD","FASN LUAD"
"FH","OthertypesofO_glycanbiosynthesis/hsa00514","READ","FH READ"
"FH","OthertypesofO_glycanbiosynthesis/hsa00514","STAD","FH STAD"
"FH","OthertypesofO_glycanbiosynthesis/hsa00514","SARC","FH SARC"
"FH","OthertypesofO_glycanbiosynthesis/hsa00514","UCEC","FH UCEC"
"FH","OthertypesofO_glycanbiosynthesis/hsa00514","PAAD","FH PAAD"
"FH","OthertypesofO_glycanbiosynthesis/hsa00514","LUAD","FH LUAD"
"FH","OthertypesofO_glycanbiosynthesis/hsa00514","BLCA","FH BLCA"
"FH","OthertypesofO_glycanbiosynthesis/hsa00514","SKCM","FH SKCM"
"FH","OthertypesofO_glycanbiosynthesis/hsa00514","COAD","FH COAD"
"FH","OthertypesofO_glycanbiosynthesis/hsa00514","LUSC","FH LUSC"
"FH","OthertypesofO_glycanbiosynthesis/hsa00514","KIRC","FH KIRC"
"FHIT","Primarybileacidbiosynthesis/hsa00120","ESCA","FHIT ESCA"
"FHIT","Primarybileacidbiosynthesis/hsa00120","DLBC","FHIT DLBC"
"FHIT","Primarybileacidbiosynthesis/hsa00120","SKCM","FHIT SKCM"
"FHIT","Primarybileacidbiosynthesis/hsa00120","UCEC","FHIT UCEC"
"GMPS","Inositolphosphatemetabolism/hsa00562","PANCAN","GMPS PANCAN"
"GMPS","Inositolphosphatemetabolism/hsa00562","UCEC","GMPS UCEC"
"GMPS","Inositolphosphatemetabolism/hsa00562","HNSC","GMPS HNSC"
"GMPS","Inositolphosphatemetabolism/hsa00562","BLCA","GMPS BLCA"
"GMPS","Inositolphosphatemetabolism/hsa00562","UCS","GMPS UCS"
"GMPS","Inositolphosphatemetabolism/hsa00562","ESCA","GMPS ESCA"
"GMPS","Inositolphosphatemetabolism/hsa00562","LUSC","GMPS LUSC"
"GMPS","Inositolphosphatemetabolism/hsa00562","COAD","GMPS COAD"
"GMPS","Inositolphosphatemetabolism/hsa00562","SKCM","GMPS SKCM"
"GMPS","Inositolphosphatemetabolism/hsa00562","CESC","GMPS CESC"
"GMPS","Inositolphosphatemetabolism/hsa00562","LUAD","GMPS LUAD"
"GMPS","Inositolphosphatemetabolism/hsa00562","STAD","GMPS STAD"
"GMPS","Inositolphosphatemetabolism/hsa00562","READ","GMPS READ"
"GPHN","Selenocompoundmetabolism/hsa00450","LUSC","GPHN LUSC"
"GPHN","Selenocompoundmetabolism/hsa00450","PANCAN","GPHN PANCAN"
"GPHN","Selenocompoundmetabolism/hsa00450","COAD","GPHN COAD"
"GPHN","Selenocompoundmetabolism/hsa00450","LUAD","GPHN LUAD"
"GPHN","Selenocompoundmetabolism/hsa00450","LIHC","GPHN LIHC"
"GPHN","Selenocompoundmetabolism/hsa00450","DLBC","GPHN DLBC"
"GPHN","Selenocompoundmetabolism/hsa00450","READ","GPHN READ"
"GPHN","Selenocompoundmetabolism/hsa00450","STAD","GPHN STAD"
"GPHN","Selenocompoundmetabolism/hsa00450","CHOL","GPHN CHOL"
"GPHN","Selenocompoundmetabolism/hsa00450","BLCA","GPHN BLCA"
"GPHN","Selenocompoundmetabolism/hsa00450","KIRP","GPHN KIRP"
"GPHN","Selenocompoundmetabolism/hsa00450","SKCM","GPHN SKCM"
"GPHN","Selenocompoundmetabolism/hsa00450","SARC","GPHN SARC"
"GPHN","Selenocompoundmetabolism/hsa00450","UCEC","GPHN UCEC"
"GXYLT1","Pyruvatemetabolism/hsa00620","LUAD","GXYLT1 LUAD"
"IDH1","Purinemetabolism/hsa00230","PRAD","IDH1 PRAD"
"IDH1","Purinemetabolism/hsa00230","LIHC","IDH1 LIHC"
"IDH1","Purinemetabolism/hsa00230","THYM","IDH1 THYM"
"IDH1","Purinemetabolism/hsa00230","GBM","IDH1 GBM"
"IDH1","Purinemetabolism/hsa00230","BLCA","IDH1 BLCA"
